order,seasonal_order,aic,bic,rmse,mae,ljungbox_pvalue,shapiro_pvalue
"(1, 1, 0)","(0, 1, 1, 12)",74.65842848438025,82.28831283119027,0.5343222956714646,0.4390670625384228,0.02749829457254927,0.3328422639330711
"(0, 0, 0)","(0, 0, 1, 12)",76.04690829614971,81.39256596507352,0.5685153625065978,0.46148461438733107,0.18659730866366686,0.00590008446184776
"(1, 1, 0)","(0, 0, 1, 12)",76.65657392094543,84.64689120328163,0.5625210611382339,0.4378830485741199,0.002473817032428063,0.4706005228957391
"(1, 0, 0)","(0, 0, 0, 12)",77.37905183820223,82.93729882442528,0.6530724170299849,0.5389769273148702,0.007245510028899259,0.020881870792523183
"(0, 0, 2)","(0, 0, 0, 12)",78.5442439199993,86.83076572439258,0.6589095264855113,0.5382030901727635,0.018979759160853968,0.014780331424360433
"(1, 1, 0)","(1, 1, 1, 12)",79.83309520991793,90.00627433899794,0.5305306806966642,0.4401973595805177,0.01943392829406582,0.35738861370211944
"(0, 0, 1)","(0, 1, 0, 12)",82.70297188676902,88.02985007499315,0.5418731202463936,0.4273186967132792,0.0033676813972985968,0.2145505655381828
"(1, 0, 2)","(0, 1, 0, 12)",83.07613440121898,93.69197580184907,0.537826625550497,0.4225481367390365,0.03772078868327964,0.5647290959915052
"(1, 0, 1)","(0, 1, 0, 12)",83.30475656430863,91.29507384664484,0.5412489186362999,0.42642069642560404,0.012218932526757563,0.418482715922412
"(2, 0, 0)","(0, 1, 0, 12)",83.54012423224273,91.53044151457894,0.5421556234012871,0.4263287352487631,0.015714689169505334,0.4110657707861795
"(0, 0, 2)","(0, 1, 0, 12)",83.58088174680445,91.54276279727702,0.5428794044579911,0.42703839918696396,0.009387928100938069,0.305970366745268
"(0, 1, 2)","(0, 1, 0, 12)",83.59744823621496,91.53062093363907,0.5740355084311701,0.4627733901959312,0.015070903031996818,0.483247055829311
"(1, 0, 0)","(0, 1, 0, 12)",84.04237412978428,89.38803179870808,0.542515660149488,0.42775092296456424,0.006303002917644464,0.19897655068365455
"(0, 0, 1)","(0, 0, 0, 12)",84.17111620466962,89.71248545360095,0.6519768395041694,0.5308600371409536,0.029464936898049104,0.004272865506639302
"(0, 0, 0)","(0, 1, 0, 12)",84.34579849679174,87.01862733125365,0.5405793574181932,0.42583333333333334,0.00047074627815669497,0.21296925538480155
"(2, 0, 1)","(0, 1, 0, 12)",84.82758153379186,95.48133791024013,0.5406858951260091,0.425366658616026,0.018273744051421015,0.5219283192594009
"(2, 1, 0)","(0, 0, 0, 12)",85.37609983903891,93.66262164343219,0.5918387990243543,0.4636002561549988,8.892524597308729e-07,0.7202657219872034
